yyyymm,FIN,FIN_long,FIN_short,PEAD,PEAD_long,PEAD_short
196807,4.8112179703,-0.694789228,-5.506007198,,,
196808,1.0599086168,3.3226130851,2.2627044682,,,
196809,-1.427865288,4.2814121896,5.7092774775,,,
196810,1.369915758,1.3047623225,-0.065153435,,,
196811,-0.609407829,7.2174193023,7.8268271311,,,
196812,-0.061546931,-0.842562248,-0.781015317,,,
196901,1.5005162952,-0.637020653,-2.137536949,,,
196902,3.6812425656,-5.530573519,-9.211816085,,,
196903,0.3526424305,2.1779999911,1.8253575607,,,
196904,0.751655595,0.873621156,0.121965561,,,
196905,0.4428226745,0.4106016089,-0.032221066,,,
196906,2.0354534888,-8.863459078,-10.89891257,,,
196907,2.4094914038,-7.369841036,-9.77933244,,,
196908,-1.513028735,5.6341842975,7.1472130328,,,
196909,2.315848087,-1.689600936,-4.005449023,,,
196910,0.1186924321,7.9013612538,7.7826688217,,,
196911,0.2993895697,-4.342757428,-4.642146998,,,
196912,2.8682946797,-2.385996973,-5.254291653,,,
197001,5.1402394361,-4.632063936,-9.772303372,,,
197002,-0.785627732,4.3691173115,5.1547450436,,,
197003,3.3983886442,-0.242458187,-3.640846831,,,
197004,5.9511133675,-10.55902937,-16.51014273,,,
197005,1.3009328272,-8.798675185,-10.09960801,,,
197006,4.543456623,-3.278714672,-7.822171295,,,
197007,-0.415484686,7.8723114821,8.2877961685,,,
197008,-1.930678837,4.7060679862,6.6367468228,,,
197009,-4.499735889,5.985954451,10.48569034,,,
197010,2.1279405927,-2.601893437,-4.72983403,,,
197011,1.2453309457,4.1533473144,2.9080163687,,,
197012,0.4940135951,7.3068119482,6.8127983531,,,
197101,-1.520102142,7.532780503,9.0528826454,,,
197102,0.6087990291,2.198722648,1.5899236189,,,
197103,-1.770002579,4.4273031557,6.1973057352,,,
197104,0.9058286888,4.1536361738,3.247807485,,,
197105,0.9049247059,-3.832525102,-4.737449808,,,
197106,0.2325157183,0.2150595643,-0.017456154,,,
197107,3.4638180799,-3.410289852,-6.874107932,,,
197108,-0.775572425,3.5154223953,4.2909948202,,,
197109,-1.071361017,-1.965093349,-0.893732332,,,
197110,1.8508692241,-3.758030857,-5.608900081,1.7125592052,-6.039661633,-7.752220838
197111,-0.215589429,-1.592341605,-1.376752176,2.240775313,-0.489506588,-2.730281901
197112,-5.870226948,7.9851330686,13.855360017,0.6185692333,11.586246438,10.967677205
197201,-2.604301931,5.0183595796,7.6226615104,2.1093155897,7.6831283485,5.5738127588
197202,-3.125135137,0.8072226142,3.9323577513,0.7653436607,4.2085141858,3.4431705251
197203,0.9829184176,-0.552092582,-1.535011,0.7936501576,0.0229450001,-0.770705158
197204,-0.670562349,0.1406048538,0.8111672025,1.6365738318,2.0530608017,0.4164869698
197205,-1.675434258,-1.344414853,0.3310194047,0.5600587044,0.1948422419,-0.365216462
197206,1.0222144522,-2.468645692,-3.490860145,0.8159499395,-3.232289955,-4.048239895
197207,2.1406457574,-2.663135579,-4.803781336,0.7130627914,-1.845001603,-2.558064394
197208,4.1590054078,5.5702320078,1.4112266,-0.809258925,2.6636117826,3.4728707075
197209,1.3765208234,-1.704866484,-3.081387307,-0.368172301,-2.773793546,-2.405621244
197210,3.0609524036,2.1825663119,-0.878386092,1.8204441425,0.6509619485,-1.169482194
197211,0.8058244763,6.6282250636,5.8224005873,1.7816531563,6.3922251466,4.6105719903
197212,0.0323781064,-0.912090437,-0.944468543,1.7552328918,0.6931138914,-1.062119
197301,7.7486262241,0.2688174762,-7.479808748,-3.496234094,-6.008672752,-2.512438658
197302,4.100890362,-5.042884106,-9.143774468,1.3746645921,-5.660918293,-7.035582885
197303,3.1176697816,1.0400766767,-2.077593105,0.6735078181,-1.909995869,-2.583503687
197304,10.041201035,-1.587224698,-11.62842573,1.6760985396,-6.549125661,-8.2252242
197305,1.5052310316,-6.158686639,-7.663917671,-0.101879685,-6.4434148,-6.341535115
197306,4.8103425471,0.3663602361,-4.443982311,2.6433681402,-2.249446006,-4.892814146
197307,-11.07670892,3.9425036601,15.01921258,-1.910252382,11.869276402,13.779528784
197308,2.6357837963,-2.242230395,-4.878014191,3.0259336828,-2.124171465,-5.150105148
197309,-3.728627739,6.9393169962,10.667944735,1.2020974875,8.9282716158,7.7261741283
197310,4.4158078125,0.8898599533,-3.525947859,2.5042902899,0.026411847,-2.477878443
197311,8.5562685077,-11.33497967,-19.89124818,4.570758519,-15.01436268,-19.5851212
197312,6.9113167096,5.054794087,-1.856522623,5.1852735529,0.7987252584,-4.386548295
197401,-2.815269182,4.6196388659,7.4349080479,-0.67017418,6.4527875097,7.12296169
197402,1.8851311463,1.2732861862,-0.61184496,-1.303538022,-0.376043432,0.9274945899
197403,1.3917036175,-0.926390131,-2.318093748,0.5660383305,-0.718762098,-1.284800428
197404,2.7734009726,-3.43129605,-6.204697022,1.9167438054,-4.899325327,-6.816069132
197405,2.1161826595,-5.331443538,-7.447626198,-0.619766771,-6.122221074,-5.502454304
197406,3.2227140677,-0.043944961,-3.266659028,0.7488751766,-1.885573362,-2.634448538
197407,7.0676078144,-1.369831643,-8.437439457,1.3290449424,-5.311935059,-6.640980001
197408,2.9886721602,-5.574491819,-8.563163979,2.8903854957,-7.11471693,-10.00510243
197409,6.8465575202,-6.287184475,-13.133742,2.5152330494,-9.4130308,-11.92826385
197410,-8.262536748,8.7422874109,17.004824159,3.8364779331,15.540744441,11.704266507
197411,1.1060974147,-2.956302165,-4.06239958,2.4904035111,-3.591204574,-6.081608085
197412,2.7550485339,-3.167829997,-5.922878531,1.7975344297,-4.591702773,-6.389237203
197501,-0.068218472,20.040355614,20.108574086,-5.662117486,20.147493867,25.809611353
197502,-1.923883845,2.6803976138,4.604281459,0.8230582121,7.3691039731,6.546045761
197503,-1.988094598,5.6441739934,7.6322685911,0.8658766789,7.1364676046,6.2705909257
197504,-2.661433351,2.3250989835,4.9865323344,2.2492292139,5.1076073577,2.8583781438
197505,-3.082024082,4.6092410641,7.6912651463,-0.424966072,7.1816974224,7.6066634944
197506,-1.32392748,5.8646543943,7.1885818743,-0.496129404,6.7755666736,7.271696078
197507,1.8022018509,-2.737334905,-4.539536756,-0.202950749,-5.353338164,-5.150387415
197508,4.289163893,-1.260891072,-5.550054965,0.1711779513,-3.713390891,-3.884568842
197509,1.2321332889,-2.038578098,-3.270711387,2.5781079767,-3.038098887,-5.616206863
197510,0.0982486516,3.2243201739,3.1260715223,2.5475433553,6.0361851459,3.4886417906
197511,2.6746823025,4.098493663,1.4238113606,3.0772060368,4.2310124981,1.1538064613
197512,0.3650741991,-0.205011828,-0.570086027,-0.464800456,-1.109222841,-0.644422384
197601,4.3288613251,19.712802719,15.383941394,0.819967762,18.564922496,17.744954734
197602,2.2771278219,5.4144701393,3.1373423174,0.6626974673,5.2799791576,4.6172816903
197603,-0.647103136,1.3545434887,2.0016466248,-0.451639386,1.8855528399,2.3371922258
197604,2.2374996087,0.4624738769,-1.775025732,0.8879844953,-0.994667818,-1.882652313
197605,-0.7340437,-1.453007692,-0.718963992,0.9568586223,-0.644288617,-1.601147239
197606,-0.137664254,3.9183471737,4.0560114279,0.2934266338,4.3110401793,4.0176135455
197607,1.6070585998,0.8643031272,-0.742755473,1.9902004575,0.255785227,-1.73441523
197608,0.6219017634,-1.083983678,-1.705885441,0.0831362511,-2.552839807,-2.635976058
197609,-1.03221835,2.6891952129,3.7214135624,0.7132897706,2.3143987882,1.6011090177
197610,-0.127177204,-2.49153143,-2.364354227,0.5643588296,-2.057743657,-2.622102486
197611,0.129944666,3.5416833998,3.4117387338,2.0670618036,3.793399856,1.7263380525
197612,1.9017394213,9.0968043071,7.1950648858,-0.253595063,7.185509192,7.4391042548
197701,2.0136925011,1.9831758404,-0.030516661,0.833945382,-0.983868539,-1.817813921
197702,0.6472225906,-1.757234549,-2.404457139,-0.376136645,-1.816118291,-1.439981647
197703,-0.684475686,0.2601136009,0.9445892869,1.03712901,0.0587095031,-0.978419507
197704,2.5698024774,3.3812489791,0.8114465017,1.4937524202,1.9053302988,0.4115778786
197705,1.3910052627,0.4595712864,-0.931433976,2.6127380229,0.0193624962,-2.593375527
197706,-3.499272769,3.8780873545,7.3773601239,0.2779935078,6.1073175265,5.8293240186
197707,-1.768869769,-2.466693452,-0.697823683,-0.779832594,-1.856229513,-1.076396919
197708,-0.258651951,-1.401250752,-1.142598801,1.953165994,-0.414776142,-2.367942136
