DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
19670103,0.0187,0.0778,0.4891,0.1399,-0.7193,-0.8845
19670104,0.0187,0.1667,-0.3507,-0.0575,-0.2073,-0.0410
19670105,0.0187,1.2990,0.4395,-0.5716,0.0802,-0.3846
19670106,0.0187,0.7230,0.6716,0.8990,0.3641,0.2269
19670109,0.0187,0.8439,0.6340,0.0353,0.5007,0.2924
19670110,0.0187,-0.0013,0.3068,0.3379,-0.0325,0.1486
19670111,0.0187,0.8376,0.1036,-0.0913,-0.0072,0.2526
19670112,0.0187,0.5415,0.4227,-0.1015,0.0535,-0.1197
19670113,0.0187,0.6773,-0.0907,-0.5529,0.2158,0.2154
19670116,0.0187,-0.1841,0.0825,-0.5365,-0.0830,-0.4803
19670117,0.0187,1.1292,0.0606,-0.4699,0.2721,0.0446
19670118,0.0187,0.5212,0.0256,0.0370,-0.3158,-0.2243
19670119,0.0187,0.0407,0.3764,-0.4520,-0.2741,-0.4777
19670120,0.0187,0.3698,0.6803,-0.1464,0.7823,-0.0023
19670123,0.0187,0.3369,0.6505,-0.4461,0.5674,0.0541
19670124,0.0187,0.2003,0.0177,-0.1989,0.2352,0.1657
19670125,0.0187,-0.6853,0.5339,-0.3958,-0.1219,-0.2924
19670126,0.0187,0.0261,0.4046,-0.2774,0.5190,0.3232
19670127,0.0187,0.4771,0.1129,-0.2044,0.0728,-0.4625
19670130,0.0187,0.5615,0.2995,0.3620,0.0936,-0.1926
19670131,0.0187,-0.0798,0.2816,0.0930,-0.2875,-0.3468
19670201,0.0197,-0.1556,-0.0761,-0.5364,-0.2319,-0.1381
19670202,0.0197,0.3344,0.1387,0.2061,0.3608,-0.0509
19670203,0.0197,0.7047,0.2646,0.4511,0.3386,0.6409
19670206,0.0197,-0.1534,-0.0937,-0.0391,-0.2809,-0.2195
19670207,0.0197,-0.1840,0.2634,0.1588,0.2174,0.2085
19670208,0.0197,0.8757,0.0275,-0.2648,0.0227,0.0702
19670209,0.0197,-0.3935,-0.2681,0.1386,0.5027,0.8685
19670210,0.0197,0.2533,0.1002,-0.1521,0.2356,0.0756
19670213,0.0197,0.1353,0.5628,0.0868,-0.1876,-0.2121
19670214,0.0197,0.7307,0.1511,-0.2635,0.3220,0.2497
19670215,0.0197,0.0523,-0.3365,-0.0223,0.1776,0.1016
19670216,0.0197,-0.4270,0.2593,0.2461,-0.6566,-0.1446
19670217,0.0197,0.0187,-0.1216,0.0414,0.2229,0.0233
19670220,0.0197,-0.5002,0.1688,0.0780,0.2771,0.3747
19670221,0.0197,-0.0058,0.4211,-0.1273,0.5696,-0.1402
19670223,0.0197,0.1206,0.2729,0.1216,0.6044,-0.1714
19670224,0.0197,0.0813,0.0706,-0.2441,-0.0324,-0.0089
19670227,0.0197,-1.1023,-0.1798,0.1585,0.0083,0.1190
19670228,0.0197,0.3839,0.0027,-0.3221,1.0474,0.4973
19670301,0.0168,0.9833,0.6124,-0.3982,0.2973,-0.0348
19670302,0.0168,0.5220,-0.2694,-0.1969,0.3588,-0.2309
19670303,0.0168,0.1598,0.0191,-0.2294,0.0093,0.0378
19670306,0.0168,-0.1270,0.3414,-0.0391,0.4049,-0.0640
19670307,0.0168,0.1607,0.2924,-0.5391,-0.0252,-0.2522
19670308,0.0168,0.1668,0.2030,-0.2955,0.6831,-0.1293
19670309,0.0168,0.2865,0.3123,-0.1515,0.3645,-0.0130
19670310,0.0168,0.3659,0.0648,-0.3465,-0.5073,-0.0251
19670313,0.0168,-0.4831,0.0082,0.0001,-0.1561,0.1795
19670314,0.0168,-0.1069,-0.0688,-0.2449,-0.0868,-0.6802
19670315,0.0168,0.8892,-0.4036,-0.8021,-0.3141,-0.3750
19670316,0.0168,0.8992,-0.3391,0.1005,0.3036,-0.1179
19670317,0.0168,0.1320,0.0377,0.4421,0.1212,0.1382
19670320,0.0168,-0.0121,0.1439,0.1275,0.3278,0.1090
19670321,0.0168,-0.2839,0.3145,-0.2771,-0.3752,0.0391
19670322,0.0168,0.2835,0.1956,0.3115,0.3853,-0.2324
19670323,0.0168,0.6821,-0.1531,0.1268,-0.0794,0.3451
19670327,0.0168,-0.0569,0.0156,0.1221,0.3526,0.2273
19670328,0.0168,0.0881,0.0800,-0.2917,-0.0243,0.2306
19670329,0.0168,-0.1349,0.3832,0.4719,-0.0507,0.0798
19670330,0.0168,0.0410,0.1361,0.2156,0.1850,-0.1178
19670331,0.0168,-0.5048,-0.0498,0.2792,-0.4442,-0.1744
19670403,0.0167,-1.1309,-0.1173,0.5535,-1.0097,-0.4850
19670404,0.0167,0.0119,0.1793,-0.2555,-0.2001,-0.3388
19670405,0.0167,0.6296,-0.0200,-0.0897,-0.0565,0.1497
19670406,0.0167,0.2006,0.2010,-0.3198,0.2877,-0.1704
19670407,0.0167,-0.6176,-0.1032,0.4315,-0.3140,0.2263
19670410,0.0167,-1.2369,-0.5311,0.1436,-0.5588,0.1377
19670411,0.0167,0.7105,0.0963,-0.4101,0.2771,-0.0258
19670412,0.0167,-0.1055,0.1128,0.1702,0.0353,0.2931
19670413,0.0167,0.6491,-0.1275,-0.6568,0.4438,-0.0723
19670414,0.0167,1.0043,-0.2598,-0.5583,0.3642,-0.0158
19670417,0.0167,0.6385,-0.4705,-0.1497,-0.1439,-0.2457
19670418,0.0167,0.8527,-0.0509,-0.1059,0.5188,0.1549
19670419,0.0167,0.1151,0.1245,-0.0762,0.2850,0.2746
19670420,0.0167,0.1915,0.1957,-0.3528,-0.2805,0.0290
19670421,0.0167,0.2566,0.3828,-0.1925,0.0998,-0.4785
19670424,0.0167,0.2701,-0.3274,-0.2134,0.3815,0.1855
19670425,0.0167,0.5534,-0.3702,-0.0813,0.0796,-0.0825
19670426,0.0167,-0.1147,0.1615,-0.0191,0.2525,-0.1325
19670427,0.0167,0.8102,0.1076,-0.6464,0.5438,-0.6309
19670428,0.0167,0.1495,0.2370,-0.0011,-0.0454,-0.3765
19670501,0.0142,-0.0733,0.3388,-0.2071,0.2291,0.1648
19670502,0.0142,-0.0193,0.4762,-0.4553,0.0169,-0.3583
19670503,0.0142,0.2858,0.4986,-0.0649,-0.0956,-0.3844
19670504,0.0142,0.3332,-0.1415,0.1063,0.1696,-0.2293
19670505,0.0142,0.1222,0.2582,0.7348,-0.1766,0.2702
19670508,0.0142,0.2075,-0.1388,0.3649,-0.1198,0.1183
19670509,0.0142,-1.0403,-0.3418,0.3998,-0.2310,0.5849
19670510,0.0142,-0.1319,0.5760,0.1775,-0.0469,-0.2393
19670511,0.0142,0.4864,0.3713,-0.5173,0.0260,-0.6619
19670512,0.0142,-0.1978,0.4188,-0.3975,0.1297,-0.1001
