DATE,MKTRF,SMB,MGMT,PERF,RF
19630102,-0.005400,0.0099781773,0.0062336411,-0.006542413,0.00010
19630103,0.016600,0.004781452,0.0045756841,-0.02094581,0.00010
19630104,0.006800,-0.004450548,0.0031640111,-0.006272261,0.00010
19630107,0.000600,0.005247487,0.0045940604,-0.000360012,0.00010
19630108,0.009000,-0.00053283,0.0007292418,0.0025695,0.00010
19630109,-0.001600,0.0036014808,0.0022261965,0.0064036381,0.00010
19630110,0.001900,-0.004536161,0.0046709642,-0.003377832,0.00010
19630111,0.002500,0.0004097691,0.000468924,0.0004840946,0.00010
19630114,0.005700,-0.000790377,-0.003544338,-0.00831472,0.00010
19630115,-0.001000,0.0041277359,0.0005721818,0.0056787133,0.00010
19630116,-0.006900,0.0028106415,0.0020486131,0.0082196343,0.00010
19630117,0.006600,-0.001367739,-0.001934607,0.0000358082,0.00010
19630118,0.000200,0.0027222424,-0.00307521,0.0024131919,0.00010
19630121,0.001400,0.00008513,0.0017219346,0.0021631598,0.00010
19630122,0.002600,0.0067946951,-0.002492356,-0.007975192,0.00010
19630123,0.002300,0.0002013105,0.0002457132,-0.000737282,0.00010
19630124,0.001600,0.0021913062,-0.003607837,0.0030201677,0.00010
19630125,0.002500,-0.003735577,0.0042360064,0.0034106235,0.00010
19630128,0.004000,-0.004144988,-0.000837862,0.0004563105,0.00010
19630129,0.000200,-0.000691021,0.0008289611,-0.000863978,0.00010
19630130,-0.005600,0.0054546918,-0.002898191,-0.000368684,0.00010
19630131,0.004400,-0.00516604,-0.000134056,-0.002149676,0.00010
19630201,0.001800,0.0029977117,-0.001409704,0.0024327157,0.00010
19630204,-0.002000,0.0005747847,0.0005207474,0.0009164819,0.00010
19630205,-0.000700,-0.000924457,-0.001102751,-0.000329738,0.00010
19630206,0.004800,0.0015597223,-0.000374039,0.0004716094,0.00010
19630207,-0.002900,0.0035138434,0.0023999792,0.0059177577,0.00010
19630208,0.000400,0.0023255017,-0.000424712,0.0049371895,0.00010
19630211,-0.005000,0.0044063826,-0.003807875,-0.005649588,0.00010
19630212,0.000400,-0.001356533,0.0008166225,-0.008413643,0.00010
19630213,0.004700,-0.002528759,0.0044795677,-0.007154112,0.00010
19630214,0.003000,0.0030368624,0.0058101565,-0.00754264,0.00010
19630215,0.001400,-0.002132821,-0.000899589,0.0037046024,0.00010
19630218,0.001500,0.0014028836,0.0021935621,-0.004131831,0.00010
19630219,-0.004200,-0.001004589,0.0031611494,0.0019103437,0.00010
