YYYYMM,MKTRF,SMB,MGMT,PERF,RF
196301,0.049400,0.0244800708,0.0184599713,-0.023198208,0.00250
196302,-0.024000,0.0163258425,0.0120432253,0.0011512448,0.00230
196303,0.030800,-0.009537154,0.0039984574,0.020963839,0.00230
196304,0.045100,-0.035322652,0.0035196579,0.0042923109,0.00250
196305,0.017600,0.0186313595,0.0154498334,0.0071200599,0.00240
196306,-0.020000,0.0014778597,-0.023956914,-0.001781821,0.00230
196307,-0.003900,-0.020135549,-0.017914659,-0.011993884,0.00270
196308,0.050800,-0.003225895,0.0042305326,0.0207762338,0.00250
196309,-0.015700,-0.009513465,0.0072849356,0.0083195388,0.00270
196310,0.025400,-0.004665948,-0.004086996,0.0458594297,0.00290
196311,-0.008600,-0.003750711,-0.012938592,-0.021211433,0.00270
196312,0.018300,-0.021908775,0.0067471921,0.0104754087,0.00290
196401,0.022400,0.0042563422,0.0082596535,0.0356546658,0.00300
196402,0.015500,0.0109253987,0.0112991658,0.0181331028,0.00260
196403,0.014100,0.0227008883,0.0525338967,0.0201123865,0.00310
196404,0.001000,-0.036587507,-0.009659004,-0.002222985,0.00290
196405,0.014100,-0.008677366,0.0052848078,0.01937732,0.00260
196406,0.012700,0.0078899131,-0.023402886,-0.013090103,0.00300
196407,0.017400,0.0072363927,0.0158226509,-0.012759648,0.00300
196408,-0.014400,0.007119916,-0.005440517,-0.008538184,0.00280
196409,0.026900,-0.011769273,0.0118359766,-0.00162435,0.00280
196410,0.006000,0.0045687778,0.003724539,-0.006147238,0.00290
196411,-0.000100,-0.011528087,0.008276447,0.0006712596,0.00290
196412,0.000400,-0.000803756,-0.017352494,-0.000924741,0.00310
196501,0.035400,0.0259871311,-0.00820849,0.0039476443,0.00280
196502,0.004400,0.0375168541,-0.001530002,0.0081151367,0.00300
196503,-0.013400,0.0241852107,-0.006931776,-0.005445823,0.00360
196504,0.031100,0.0187185577,-0.020625886,0.029519863,0.00310
196505,-0.007800,0.0020697069,0.0063882437,-0.006195824,0.00310
196506,-0.055100,-0.046806041,0.0063901171,-0.019299637,0.00350
196507,0.014400,0.0308087647,0.0100499827,0.0195456346,0.00310
196508,0.027300,0.0447900901,-0.005581086,0.0276179439,0.00330
196509,0.028600,0.0055778811,-0.000036909,0.0140134174,0.00310
196510,0.026000,0.0263964053,0.0082722714,0.0235439267,0.00310
196511,-0.000300,0.040796663,0.0210869443,0.0236474809,0.00350
196512,0.010100,0.0322705518,-0.001105785,0.0177237203,0.00330
196601,0.007200,0.0512283296,0.0127999655,0.0328220892,0.00380
196602,-0.012100,0.0325441857,-0.011835421,0.0390405409,0.00350
196603,-0.025100,0.0098429004,0.0066897131,0.004057725,0.00380
196604,0.021300,0.0372960338,-0.001104988,0.042732493,0.00340
196605,-0.056700,-0.029735137,0.0198037496,-0.026286662,0.00410
196606,-0.014400,0.0047871541,-0.008770446,0.0150452539,0.00380
196607,-0.016300,0.0098870486,0.0063446116,-0.011524475,0.00350
196608,-0.079400,-0.03126843,0.023609889,0.0032016265,0.00410
196609,-0.010600,-0.015990982,0.0329662583,-0.029206378,0.00400
196610,0.038600,-0.051362472,0.0437502522,-0.079995982,0.00450
196611,0.013800,0.0431980764,-0.086683212,0.0679231665,0.00400
196612,0.001300,0.0166009967,-0.008015823,-0.014957789,0.00400
196701,0.081500,0.0788473854,-0.037774155,-0.015136623,0.00430
196702,0.007700,0.0232685786,-0.025443688,0.0308071566,0.00360
196703,0.039900,0.0290008388,-0.026176821,0.0381557046,0.00390
196704,0.038900,-0.005585378,-0.033940258,0.0278813484,0.00320
196705,-0.043200,0.0417537746,0.0028276182,0.0027503407,0.00330
196706,0.024200,0.0694357257,-0.047266175,0.0553132481,0.00270
196707,0.045800,0.0314884565,0.0197592268,0.0172797125,0.00320
196708,-0.009000,0.0057805647,0.0118442184,-0.001618645,0.00310
196709,0.031000,-0.005157041,-0.020526996,0.0600801875,0.00320
196710,-0.030800,0.0011860503,-0.030553983,0.0357049995,0.00390
196711,0.003700,0.0050189529,-0.029116626,-0.001173423,0.00360
196712,0.030500,0.0617283121,-0.010760816,0.0023067915,0.00330
196801,-0.040300,0.0396301174,0.0638827985,-0.04837164,0.00400
196802,-0.037400,-0.020476056,0.0433012307,-0.016882411,0.00390
196803,0.002100,-0.018259952,-0.016620515,0.0439513112,0.00380
196804,0.090200,0.0647637479,-0.063895109,0.063049048,0.00430
196805,0.022800,0.0888881577,-0.026191271,0.0382520344,0.00450
196806,0.007000,-0.001241185,0.0299770336,-0.049364796,0.00430
196807,-0.026900,-0.037899418,0.0415096024,-0.026897291,0.00480
196808,0.013500,0.0302307669,-0.00311844,0.0235912937,0.00420
196809,0.040500,0.0215400907,-0.001196775,0.004286607,0.00430
196810,0.004300,-0.00523493,0.0279072186,-0.012225866,0.00440
196811,0.054300,0.021999486,-0.037287165,-0.019190271,0.00420
196812,-0.039300,0.042297645,0.0198218344,-0.003981305,0.00430
196901,-0.012500,-0.010680942,0.0198621661,-0.03100484,0.00530
196902,-0.058600,-0.039539345,0.0342042818,0.022157337,0.00460
196903,0.026600,0.004236143,0.0099234748,0.0517558218,0.00460
196904,0.014600,-0.015953567,-0.005416511,0.0163794473,0.00530
196905,-0.000900,-0.001189505,0.0080954831,0.0090213753,0.00480
196906,-0.071900,-0.034374824,0.0338092279,0.0338187791,0.00510
196907,-0.070000,-0.031422378,0.0380056353,0.0198195352,0.00530
196908,0.046900,0.0105749675,-0.073746133,0.0368300221,0.00500
196909,-0.029700,0.0236249135,0.0276769465,0.0356124412,0.00620
196910,0.050600,0.049703951,-0.027797365,-0.029746811,0.00600
196911,-0.038000,-0.017573907,0.0051607976,0.0503912327,0.00520
196912,-0.026300,-0.027889755,0.0107859253,0.0489098034,0.00640
197001,-0.081000,0.0322181728,0.0631097145,0.0067528827,0.00600
197002,0.051400,-0.032028461,0.0152905,-0.031572841,0.00620
197003,-0.010600,-0.017361901,0.0750908771,-0.001334705,0.00570
197004,-0.109900,-0.067921619,0.0831078514,0.0253010431,0.00500
197005,-0.069000,-0.051011026,0.0543342041,-0.014146437,0.00530
197006,-0.058000,-0.026088178,0.0602111911,0.0740703056,0.00580
197007,0.069200,-0.014196257,0.0000242989,-0.038677018,0.00520
197008,0.045000,0.020595306,-0.005346649,-0.057883975,0.00530
197009,0.041800,0.0911394762,-0.078228734,-0.05428026,0.00540
197010,-0.022700,-0.034709562,0.0367707512,0.0848223767,0.00460
197011,0.046200,-0.022942966,0.0251400608,-0.006383372,0.00460
197012,0.057400,0.0352464216,-0.005789321,-0.020160332,0.00420
197101,0.048300,0.0344670429,-0.023364453,-0.069200421,0.00380
197102,0.014100,0.0475529599,0.0015320937,0.0193923445,0.00330
197103,0.041200,0.0284461916,-0.026313319,0.0167760619,0.00300
197104,0.031500,-0.007104212,0.0053647174,0.032667687,0.00280
197105,-0.039900,-0.014810799,-0.006865268,0.0291240626,0.00290
197106,-0.000900,-0.009321248,-0.031266856,0.0115516972,0.00370
197107,-0.044900,-0.013122882,0.0156212743,-0.013356181,0.00400
197108,0.037900,0.0270188234,0.0237642618,0.0405451556,0.00470
197109,-0.008600,-0.002692011,-0.008649176,0.0299423762,0.00370
197110,-0.044200,-0.016396112,-0.000419691,-0.007372802,0.00370
197111,-0.004600,-0.016835926,0.0113659559,0.0121595006,0.00370
197112,0.087100,0.0461550224,-0.039073915,-0.002347794,0.00370
197201,0.024700,0.0733366602,0.0031992395,0.017833506,0.00290
197202,0.028700,0.0165490045,-0.013470664,0.0434022401,0.00250
197203,0.006200,0.0141946781,0.0053343677,0.009218107,0.00270
197204,0.002900,-0.005099864,-0.014575545,0.0110880074,0.00290
197205,0.012900,-0.031524488,-0.014271878,0.0386654358,0.00300
197206,-0.024300,-0.015177193,0.0061991194,0.0233317838,0.00290
197207,-0.008000,-0.015633572,0.0321283363,0.0074002203,0.00310
197208,0.032700,-0.047915533,0.036437335,-0.052761202,0.00290
197209,-0.011400,-0.0292842,-0.003743525,0.0174694173,0.00340
197210,0.005200,-0.022668377,0.0061151122,-0.021387302,0.00400
197211,0.046000,-0.001888709,0.020791498,-0.047664879,0.00370
197212,0.006200,-0.022143774,0.0019535328,0.0510632663,0.00370
197301,-0.032700,-0.009453427,0.0316368022,0.0189421735,0.00440
197302,-0.048500,-0.029157018,0.0276076716,-0.002827273,0.00420
197303,-0.013000,-0.030370729,0.0376508302,-0.003871994,0.00460
197304,-0.056800,-0.024824169,0.0572012472,0.033197164,0.00520
197305,-0.029700,-0.061701425,0.0100815569,0.0472496266,0.00510
197306,-0.015700,-0.020868386,0.0327267763,0.0175736645,0.00510
197307,0.050400,0.0285743115,-0.064247242,-0.041138983,0.00640
197308,-0.038200,-0.014073486,0.0127501196,0.0127197224,0.00700
197309,0.047400,0.029822887,-0.007561839,-0.068076369,0.00680
197310,-0.008300,0.0172844681,0.0406269331,0.0245320725,0.00650
197311,-0.127800,-0.067451238,0.0718549012,0.0195821834,0.00560
197312,0.005900,-0.053411634,0.012242181,0.0034631555,0.00640
197401,-0.001600,0.1003492997,0.017618285,-0.056212968,0.00630
197402,-0.004600,-0.003035118,0.0273864881,-0.011358158,0.00580
197403,-0.028200,0.0333736558,0.0089838883,0.0152394804,0.00560
197404,-0.052800,0.0026059954,0.0383751409,0.0358146768,0.00750
197405,-0.047000,-0.025135355,-0.006990568,0.0614377406,0.00750
197406,-0.028400,-0.006949063,0.0284430414,0.0681830614,0.00600
197407,-0.080600,0.0334980607,0.0448962477,-0.036303098,0.00700
197408,-0.093900,0.0022632239,0.0396675766,0.0074195426,0.00600
197409,-0.117900,0.0237717093,0.0620274252,-0.040860796,0.00810
197410,0.161100,-0.046451482,-0.069712908,-0.007099728,0.00510
197411,-0.045300,0.0017031613,0.0225092405,-0.009023518,0.00540
197412,-0.034400,-0.038518898,0.0478998166,0.0011079476,0.00700
197501,0.136700,0.1071404069,-0.000611512,-0.106729288,0.00580
197502,0.055600,-0.006303288,-0.022591553,0.0557950897,0.00430
197503,0.026600,0.0416992369,-0.024444955,0.0287688965,0.00410
197504,0.042200,0.0031989637,-0.014079032,0.032437811,0.00440
197505,0.052000,0.0090848828,-0.029498166,0.0068427428,0.00440
197506,0.048700,0.0075115422,0.0207498993,-0.039875962,0.00410
197507,-0.066000,0.0290148815,0.0310075031,-0.0043014,0.00480
197508,-0.028400,-0.029629206,0.011502325,0.0182446997,0.00480
197509,-0.042600,-0.007379633,0.0052192542,0.0284997987,0.00530
197510,0.053200,-0.028794981,0.0140982005,0.0226228146,0.00560
197511,0.026500,-0.000989697,0.0114310677,0.0103952612,0.00410
197512,-0.016000,0.0085043551,0.0144988317,-0.029493429,0.00480
197601,0.121500,0.0819735808,0.0270906158,0.0107115723,0.00470
197602,0.003100,0.0631455876,0.043116983,-0.012005614,0.00340
197603,0.023200,-0.016301602,0.0057150709,0.0037647921,0.00400
197604,-0.014900,-0.007130394,-0.015615392,-0.007861252,0.00420
197605,-0.013400,-0.011096242,0.0012025993,-0.001621289,0.00370
197606,0.040600,-0.005229587,0.0047938972,-0.021674168,0.00430
197607,-0.010600,0.0114635222,0.019431108,-0.015120844,0.00470
197608,-0.005700,-0.024791383,0.0086996354,0.0000376659,0.00420
197609,0.020600,0.0100989429,-0.002245624,0.0104143307,0.00440
197610,-0.024200,-0.000712825,0.0020493873,-0.020396023,0.00410
197611,0.003600,0.0299168723,-0.0036706,-0.007563505,0.00400
197612,0.056500,0.0418707929,0.0294589579,-0.023066064,0.00400
197701,-0.040300,0.0560573981,0.0303357758,-0.008420494,0.00360
197702,-0.019400,0.0104995498,0.0103137715,0.0120365561,0.00350
197703,-0.013500,0.0172609407,-0.006851638,-0.004081779,0.00380
197704,0.001500,0.0123543445,0.0108547179,-0.009558165,0.00380
197705,-0.014700,0.0186618695,0.0055472474,-0.000647799,0.00370
197706,0.047200,0.0302424695,-0.00997635,0.0101026677,0.00400
197707,-0.016900,0.0173902616,0.010867408,0.0031119768,0.00420
197708,-0.017600,0.0143088686,-0.006711465,0.0264778618,0.00440
197709,-0.002700,0.0078398095,-0.001249942,0.0172695778,0.00430
197710,-0.043900,0.0184733844,0.0074560625,0.0038103052,0.00490
197711,0.040000,0.0543385251,-0.009709329,0.0168236485,0.00500
197712,0.002700,0.006538832,-0.006134196,0.0194810875,0.00490
197801,-0.060000,0.0298242607,0.0251733492,-0.012514099,0.00490
197802,-0.013900,0.0319552062,0.0142696212,-0.003355817,0.00460
